jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,1,18.1347632242,17.1347632242
job2,1,0,8,25.1347632242,17.1347632242
job3,1,0,9,26.1347632242,17.1347632242
job1,1,1,6,48.246,42.246
job6,4,0,41,58.1593596528,17.1593596528
job4,155,20,17,59.591,42.591
job9,1,0,48,73.2689809522,25.2689809522
job10,1,0,58,75.725217728,17.725217728
job5,1,1,40,82.238,42.238
job11,1,0,71,88.207,17.207
job12,1,0,75,95.678,20.678
job8,1,1,47,98.283,51.283
job7,1535,192,44,105.544,61.544
job16,17,0,91,111.293577381,20.2935773808
job13,1,1,78,121.136,43.1360000001
job14,1327,166,79,136.446,57.4460000002
job15,216,27,89,136.949,47.9490000002
job18,1,0,120,137.136,17.1360000002
job17,1,1,113,161.408,48.4080000003
job20,7,1,125,176.65,51.6500000004
job21,6,1,131,180.295,49.2950000004
job22,6,1,135,180.295,45.2950000004
job19,1327,166,123,180.337,57.3370000004
job27,1,0,166,183.136,17.1360000004
job23,6,1,149,191.177,42.1770000004
job24,6,1,159,201.161,42.1610000005
job25,6,1,161,203.171,42.1710000005
job26,6,1,164,206.148,42.1480000005
job28,1,1,191,233.137000001,42.1370000006
job29,1,1,192,234.136000001,42.1360000006
job35,1,0,234,259.407000001,25.4070000008
job36,1,0,241,260.413000001,19.4130000008
job30,1327,166,212,270.366000001,58.3660000008
job33,1,1,232,274.273000001,42.2730000008
job38,3,0,254,275.541660132,21.5416601324
job39,58,0,258,275.642799087,17.6427990871
job40,1,0,269,286.502000001,17.5020000005
job37,216,27,252,300.733,48.7330000004
job41,1,1,271,315.48,44.4800000001
job42,1,0,293,315.699653185,22.6996531848
job43,1,0,298,315.701,17.7009999998
job31,1327,166,217,315.841,98.8410000001
job32,1327,166,223,315.841,92.8410000001
job44,1,1,305,354.832999999,49.8329999991
job45,219,28,312,356.533999999,44.5339999991
job50,1,0,338,361.121999999,23.1219999988
job46,1,1,319,362.081999999,43.081999999
job53,1,0,347,365.346999999,18.3469999987
job52,1,0,346,365.346999999,19.3469999987
job47,16,2,321,369.985999999,48.9859999988
job48,1,1,329,371.749999999,42.7499999987
job49,216,27,334,376.410999999,42.4109999986
job55,2,0,359,377.256217727,18.2562177268
job56,49,0,367,391.431741825,24.4317418248
job51,1393,0,341,391.45208864,50.4520886401
job61,7,0,385,406.514959553,21.5149595528
job57,1,1,370,412.803999998,42.8039999978
job34,5228,654,233,416.533999998,183.533999998
job58,1,1,373,417.371999998,44.3719999977
job62,1,0,398,417.547217726,19.547217726
job59,1,1,376,418.393999998,42.3939999976
job60,1,1,382,428.019999997,46.0199999974
job66,1,0,442,459.288435453,17.2884354534
job68,1,0,455,478.084999996,23.084999996
job65,3,0,431,483.452999996,52.4529999959
job69,2,0,463,486.56256177,23.5625617697
job63,119,0,415,487.729521116,72.7295211165
job71,1,0,472,494.044217724,22.044217724
job72,1,0,477,497.525830464,20.5258304641
job67,1,1,448,503.931999996,55.9319999956
job70,1,1,465,511.553999995,46.5539999954
job64,74,10,418,512.693999995,94.6939999954
job77,1,0,501,519.067999995,18.067999995
job74,1,1,486,528.868999995,42.868999995
job76,1,1,492,537.609999995,45.6099999948
job75,1393,0,491,552.857395006,61.857395006
job73,869,109,480,562.978999994,82.9789999942
job54,2443,306,358,839.730999991,481.730999991
