jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,7,24.154,17.154
job2,1,0,22,39.154,17.154
job3,1,0,32,49.154,17.154
job5,4,0,43,60.1602097902,17.1602097902
job1,1,1,20,62.265,42.265
job7,1,0,58,75.1532072791,17.1532072791
job4,1,1,42,84.258,42.258
job6,1,1,54,96.155,42.155
job8,1,0,102,119.154,17.1540000001
job10,1,0,115,132.194,17.1940000002
job11,1,0,119,136.154,17.1540000002
job9,155,20,106,148.479,42.4790000002
job12,1,1,125,167.155,42.1550000003
job15,17,0,149,172.295917645,23.2959176452
job17,1,0,172,189.153207279,17.1532072791
job14,216,27,143,196.358,53.3580000004
job13,1327,166,139,196.413,57.4130000004
job16,1,1,155,197.292,42.2920000005
job18,1327,166,198,255.347000001,57.3470000007
job19,7,1,208,256.399000001,48.3990000007
job20,6,1,237,279.157000001,42.1570000008
job21,6,1,247,289.162000001,42.1620000007
job22,6,1,282,324.162,42.1619999999
job26,1,0,310,327.154,17.1539999996
job23,6,1,297,339.162,42.1619999995
job24,6,1,299,341.166999999,42.1669999995
job25,6,1,301,343.156999999,42.1569999994
job27,1,1,329,371.154999999,42.1549999988
job28,1,1,342,384.155999998,42.1559999984
job29,1327,166,369,426.709999997,57.7099999974
job33,1,0,425,442.280999997,17.2809999968
job32,1,1,398,442.558999997,44.5589999971
job34,1,0,426,443.239837126,17.2398371264
job30,1327,166,373,456.755999997,83.7559999967
job31,1327,166,380,456.756999997,76.7569999967
job35,216,27,432,474.255999996,42.2559999963
job36,3,0,467,484.16020979,17.1602097902
job37,58,0,473,490.160715739,17.1607157388
job38,1,0,485,502.153999995,17.1539999954
job41,1,0,535,552.220999994,17.2209999942
job42,1,0,549,566.153207279,17.1532072791
job40,1,1,524,571.361999994,47.361999994
job39,1535,192,513,574.336999994,61.3369999939
job43,1,1,569,611.154999993,42.1549999931
job44,1,1,586,628.154999993,42.1549999927
job48,1,0,629,646.153999992,17.153999992
job45,16,2,611,653.161999992,42.1619999921
job46,1,1,619,661.154999992,42.1549999919
job47,216,27,623,665.236999992,42.2369999918
job50,1,0,652,669.29621772,17.2962177201
job49,1393,0,640,672.327262964,32.3272629635
job51,1,0,656,673.289301523,17.2893015233
job53,2,0,660,680.364999991,20.3649999912
job54,49,0,695,793.502893019,98.5028930188
job55,1,1,707,806.633999988,99.6339999885
job61,1,0,801,821.768217716,20.7682177165
job60,7,0,799,823.766019105,24.7660191046
job57,1,1,787,830.639999988,43.6399999879
job58,1,1,793,836.900999988,43.9009999877
job59,1,1,796,838.765999988,42.7659999877
job64,3,0,819,838.905040254,19.9050402542
job65,1,0,825,846.973830456,21.9738304558
job67,1,0,834,853.035217716,19.0352177157
job62,119,0,810,854.046145424,44.046145424
job66,1,1,826,871.777999987,45.7779999869
job68,2,0,853,877.243999987,24.2439999865
job63,74,10,811,879.086999987,68.0869999867
job69,1,1,854,902.245999986,48.2459999862
job70,219,28,865,912.364999986,47.364999986
job71,1,0,910,928.499217714,18.499217714
job72,1,0,934,951.160999985,17.1609999848
job56,5228,654,738,972.586999985,234.586999985
job76,1,0,967,988.630614886,21.6306148863
job74,1393,0,948,989.131999984,41.1319999839
job73,1,1,947,990.172999984,43.1729999841
job75,1,1,963,1005.33099998,42.3309999838
job77,1,1,974,1016.16799998,42.1679999835
job80,49,0,1003,1020.16020979,17.1602097902
job78,119,15,975,1020.46399998,45.4639999834
job79,1,1,978,1021.56499998,43.5649999834
job81,49,0,1027,1044.16071574,17.1607157388
job82,1,0,1035,1052.15799998,17.1579999824
job84,1,0,1049,1068.29221771,19.2922177104
job52,2443,306,657,1155.36399998,498.363999984
job87,1,0,1066,1159.23093411,93.2309341052
job89,1,0,1079,1160.63061489,81.6306148863
job90,1,0,1093,1160.63061489,67.6306148863
job96,1,0,1143,1160.63061489,17.6306148863
