jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,1,18.014,17.014
job2,1,0,8,25.014,17.014
job3,1,0,9,26.014,17.014
job1,1,1,6,48.249,42.249
job6,4,0,41,58.1382025213,17.1382025213
job4,155,20,17,59.463,42.463
job9,1,0,48,73.2715261483,25.2715261483
job10,1,0,58,75.474,17.474
job5,1,1,40,82.241,42.241
job11,1,0,71,88.2175548622,17.2175548622
job12,1,0,75,92.1373084203,17.1373084203
job8,1,1,47,98.273,51.273
job7,1535,192,44,106.351,62.351
job16,17,0,91,111.285363865,20.2853638647
job13,1,1,78,120.139,42.1390000001
job15,216,27,89,136.34,47.3400000002
job14,1327,166,79,136.51,57.5100000002
job18,1,0,120,137.014,17.0140000002
job17,1,1,113,161.341,48.3410000003
job20,7,1,125,176.702,51.7020000004
job21,6,1,131,180.278,49.2780000004
job22,6,1,135,180.295,45.2950000004
job19,1327,166,123,180.391,57.3910000004
job27,1,0,166,183.014,17.0140000004
job23,6,1,149,191.203,42.2030000004
job24,6,1,159,201.14,42.1400000005
job25,6,1,161,203.15,42.1500000005
job26,6,1,164,206.14,42.1400000005
job28,1,1,191,233.015000001,42.0150000006
job29,1,1,192,234.015000001,42.0150000006
job35,1,0,234,259.405743876,25.4057438763
job36,1,0,241,261.272435457,20.2724354567
job30,1327,166,212,269.539000001,57.5390000008
job33,1,1,232,274.026000001,42.0260000008
job38,3,0,254,284.660217729,30.6602177288
job39,58,0,258,284.672217729,26.6722177288
job31,1327,166,217,284.850000001,67.8500000008
job40,1,0,269,289.674179332,20.6741793323
job37,216,27,252,314.74,62.7400000001
job41,1,1,271,315.233,44.2330000001
job42,1,0,293,315.928653185,22.9286531848
job43,1,0,298,315.940653185,17.9406531848
job32,1327,166,223,324.797,101.797
job44,1,1,305,354.875999999,49.8759999991
job50,1,0,338,356.019474255,18.0194742549
job45,219,28,312,361.804999999,49.804999999
job46,1,1,319,364.932999999,45.9329999989
job47,16,2,321,364.936999999,43.9369999989
job52,1,0,346,365.225999999,19.2259999987
job53,1,0,347,366.345267972,19.3452679723
job48,1,1,329,371.086999999,42.0869999988
job55,2,0,359,377.353999998,18.3539999984
job49,216,27,334,380.066999999,46.0669999985
job56,49,0,367,390.513217727,23.5132177267
job51,1393,0,341,395.227217727,54.2272177265
job34,5228,654,233,400.398999998,167.398999998
job61,7,0,385,410.335435455,25.3354354545
job57,1,1,370,415.514999998,45.5149999977
job58,1,1,373,416.529999998,43.5299999977
job62,1,0,398,416.533217726,18.5332177261
job59,1,1,376,419.890999998,43.8909999976
job60,1,1,382,425.393999997,43.3939999975
job66,1,0,442,470.672999996,28.6729999962
job68,1,0,455,482.843612736,27.8436127361
job65,3,0,431,482.980959551,51.980959551
job69,2,0,463,486.144959551,23.1449595509
job63,119,0,415,486.620398392,71.6203983924
job72,1,0,477,497.482999996,20.4829999955
job71,1,0,472,497.606959551,25.6069595506
job67,1,1,448,507.981999996,59.9819999955
job70,1,1,465,508.890999995,43.8909999955
job64,74,10,418,511.673999995,93.6739999954
job77,1,0,501,518.363177278,17.3631772785
job74,1,1,486,528.692999995,42.692999995
job76,1,1,492,537.641999995,45.6419999948
job75,1393,0,491,547.219238668,56.2192386676
job73,869,109,480,552.700999994,72.7009999945
job54,2443,306,358,833.526999991,475.526999991
