jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,1,18.136,17.136
job2,1,0,8,25.136,17.136
job3,1,0,9,26.136,17.136
job1,1,1,6,48.247,42.247
job6,4,0,41,58.1606574527,17.1606574527
job4,155,20,17,59.2533952363,42.2533952363
job9,1,0,48,65.136,17.136
job10,1,0,58,75.1350725235,17.1350725235
job5,1,1,40,82.239,42.239
job11,1,0,71,88.1350725235,17.1350725235
job8,1,1,47,89.1369999999,42.1369999999
job12,1,0,75,92.1350725235,17.1350725235
job16,17,0,91,111.294875181,20.2948751807
job13,1,1,78,120.137,42.1370000001
job7,1535,192,44,131.989017233,87.9890172328
job15,216,27,89,136.358,47.3580000002
job14,1327,166,79,136.506,57.5060000002
job18,1,0,120,137.135072524,17.1350725235
job17,1,1,113,157.991,44.9910000003
job21,6,1,131,176.588,45.5880000004
job20,7,1,125,177.002,52.0020000004
job22,6,1,135,180.296,45.2960000004
job19,1327,166,123,180.449,57.4490000004
job27,1,0,166,183.136,17.1360000004
job23,6,1,149,191.2,42.2000000004
job24,6,1,159,201.162,42.1620000005
job25,6,1,161,203.178,42.1780000005
job26,6,1,164,206.162,42.1620000005
job28,1,1,191,233.137000001,42.1370000006
job29,1,1,192,234.137000001,42.1370000006
job35,1,0,234,260.443939963,26.4439399629
job36,1,0,241,260.471000001,19.4710000008
job30,1327,166,212,270.347000001,58.3470000008
job38,3,0,254,275.615242237,21.6152422366
job33,1,1,232,284.422000001,52.4220000008
job39,58,0,258,284.865000001,26.8650000006
job40,1,0,269,289.689256337,20.6892563366
job42,1,0,293,312.805,19.8049999999
job43,1,0,298,315.154,17.1539999998
job41,1,1,271,316.842,45.842
job37,216,27,252,317.714,65.714
job31,1327,166,217,338.02,121.02
job32,1327,166,223,338.021,115.021
job44,1,1,305,347.155999999,42.1559999993
job50,1,0,338,355.153999999,17.1539999989
job45,219,28,312,355.603405609,43.6034056087
job46,1,1,319,361.155999999,42.155999999
job47,16,2,321,364.490999999,43.4909999989
job53,1,0,347,366.286603153,19.2866031526
job52,1,0,346,366.287999999,20.2879999986
job48,1,1,329,371.153999999,42.1539999988
job55,2,0,359,380.625217727,21.6252177269
job49,216,27,334,381.604999999,47.6049999985
job56,49,0,367,390.400741825,23.4007418248
job51,1393,0,341,396.669654547,55.6696545466
job61,7,0,385,410.746999998,25.7469999976
job57,1,1,370,413.423999998,43.4239999978
job62,1,0,398,418.690999997,20.6909999974
job59,1,1,376,420.612999998,44.6129999976
job58,1,1,373,421.658999998,48.6589999976
job60,1,1,382,428.556999997,46.5569999974
job65,3,0,431,453.826963647,22.8269636471
job66,1,0,442,459.91691258,17.9169125799
job68,1,0,455,476.668999996,21.668999996
job63,119,0,415,485.143999996,70.1439999958
job69,2,0,463,486.834121393,23.8341213925
job71,1,0,472,490.187999996,18.1879999957
job67,1,1,448,493.963999996,45.9639999958
job72,1,0,477,494.938999996,17.9389999956
job34,5228,654,233,495.716033363,262.716033363
job64,74,10,418,508.080999996,90.0809999955
job70,1,1,465,511.544999995,46.5449999954
job77,1,0,501,524.215217724,23.2152177235
job74,1,1,486,530.606999995,44.606999995
job76,1,1,492,536.824999995,44.8249999948
job75,1393,0,491,613.264999993,122.264999993
job73,869,109,480,633.245937885,153.245937885
job54,2443,306,358,885.72999999,527.72999999
