time,jobId,taskId,event,cntrId
1,job0,am,start,592
2.0192163581733755,job0,m0,start,512
2.1534340861733754,job0,m0,execute
6,job1,am,start,480
7.0192163581733755,job1,m0,start,513
7.155000000000724,job1,m0,execute
8,job2,am,start,224
9,job3,am,start,768
9.019216358173376,job2,m0,start,514
9.153434086173375,job2,m0,execute
10.019216358173376,job3,m0,start,515
10.153434086173375,job3,m0,execute
17,job4,am,start,272
17.153434086173377,job0,m0,finish,512
18,job4,m17,start,1232
18,job4,m11,start,1136
18,job4,m16,start,1216
18,job4,m36,start,1217
18,job4,m5,start,1040
18,job4,m15,start,1200
18,job4,m37,start,1233
18,job4,m6,start,1056
18,job4,m35,start,1201
18,job4,m8,start,1088
18,job4,m0,start,960
18,job4,m18,start,1248
18,job4,m7,start,1072
18,job4,m12,start,1152
18,job4,m32,start,1153
18,job4,m14,start,1184
18,job4,m2,start,992
18,job4,m57,start,1234
18,job4,m19,start,1264
18,job4,m52,start,1154
18,job4,m55,start,1202
18,job4,m28,start,1089
18,job4,m56,start,1218
18,job4,m26,start,1057
18,job4,m75,start,1203
18,job4,m72,start,1155
18,job4,m3,start,1008
18,job4,m48,start,1090
18,job4,m76,start,1219
18,job4,m13,start,1168
18,job4,m77,start,1235
18,job4,m9,start,1104
18,job4,m23,start,1009
18,job4,m34,start,1185
18,job4,m33,start,1169
18,job4,m1,start,976
18,job4,m27,start,1073
18,job4,m54,start,1186
18,job4,m74,start,1187
18,job4,m22,start,993
18,job4,m68,start,1091
18,job4,m25,start,1041
18,job4,m4,start,1024
18,job4,m43,start,1010
18,job4,m10,start,1120
18,job4,m63,start,1011
18,job4,m39,start,1265
18,job4,m92,start,1156
18,job4,m96,start,1220
18,job4,m20,start,961
18,job4,m29,start,1105
18,job4,m94,start,1188
18,job4,m116,start,1221
18,job4,m24,start,1025
18,job4,m83,start,1012
18,job4,m114,start,1189
18,job4,m95,start,1204
18,job4,m21,start,977
18,job4,m49,start,1106
18,job4,m42,start,994
18,job4,m134,start,1190
18,job4,m47,start,1074
18,job4,m31,start,1137
18,job4,m88,start,1092
18,job4,m62,start,995
18,job4,m82,start,996
18,job4,m112,start,1157
18,job4,m132,start,1158
18,job4,m40,start,962
18,job4,m67,start,1075
18,job4,m30,start,1121
18,job4,m45,start,1042
18,job4,m51,start,1138
18,job4,m108,start,1093
18,job4,m71,start,1139
18,job4,m87,start,1076
18,job4,m97,start,1236
18,job4,m38,start,1249
18,job4,m117,start,273
18,job4,m41,start,16
18,job4,m53,start,208
18,job4,m50,start,160
18,job4,m44,start,64
18,job4,m128,start,128
18,job4,m73,start,209
18,job4,m152,start,192
18,job4,m103,start,48
18,job4,m70,start,161
18,job4,m93,start,210
18,job4,m64,start,65
18,job4,m58,start,288
18,job4,m46,start,193
18,job4,m123,start,49
18,job4,m59,start,194
18,job4,m84,start,66
18,job4,m137,start,274
18,job4,m91,start,176
18,job4,m60,start,275
18,job4,m113,start,211
18,job4,m78,start,289
18,job4,m136,start,256
18,job4,m90,start,162
18,job4,m107,start,112
18,job4,m148,start,129
18,job4,m79,start,304
18,job4,m127,start,113
18,job4,m147,start,114
18,job4,m61,start,195
18,job4,m69,start,144
18,job4,m81,start,17
18,job4,m111,start,177
18,job4,m65,start,276
18,job4,m104,start,67
18,job4,m101,start,18
18,job4,m121,start,19
18,job4,m98,start,290
18,job4,m118,start,291
18,job4,m110,start,163
18,job4,m115,start,240
18,job4,m131,start,178
18,job4,m138,start,292
18,job4,m89,start,145
18,job4,m141,start,20
18,job4,m66,start,21
18,job4,m102,start,32
18,job4,m135,start,241
18,job4,m80,start,130
18,job4,m85,start,257
18,job4,m143,start,50
18,job4,m130,start,164
18,job4,m86,start,277
18,job4,m99,start,278
18,job4,m100,start,279
18,job4,m105,start,22
18,job4,m119,start,305
18,job4,m125,start,80
18,job4,m124,start,68
18,job4,m106,start,131
18,job4,m126,start,96
18,job4,m150,start,165
18,job4,m109,start,146
18,job4,m122,start,33
18,job4,m120,start,132
18,job4,m144,start,69
18,job4,m129,start,166
18,job4,m133,start,212
18,job4,m139,start,280
18,job4,m140,start,133
18,job4,m142,start,258
18,job4,m153,start,213
18,job4,m145,start,196
18,job4,m146,start,197
18,job4,m149,start,214
18,job4,m151,start,97
18,job4,m154,start,281
18.134217728,job4,m17,execute
18.134217728,job4,m11,execute
18.134217728,job4,m16,execute
18.134217728,job4,m36,execute
18.134217728,job4,m5,execute
18.134217728,job4,m15,execute
18.134217728,job4,m37,execute
18.134217728,job4,m6,execute
18.134217728,job4,m35,execute
18.134217728,job4,m8,execute
18.134217728,job4,m0,execute
18.134217728,job4,m18,execute
18.134217728,job4,m7,execute
18.134217728,job4,m12,execute
18.134217728,job4,m32,execute
