jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,7,24.149,17.149
job2,1,0,22,39.149,17.149
job3,1,0,32,49.1476684528,17.1476684528
job5,4,0,43,60.1529275634,17.1529275634
job1,1,1,20,62.259,42.259
job7,1,0,58,75.149,17.149
job4,1,1,42,84.253,42.253
job6,1,1,54,96.149,42.149
job8,1,0,102,119.149,17.1490000001
job10,1,0,115,132.149,17.1490000002
job11,1,0,119,136.147668453,17.1476684528
job9,155,20,106,148.763395236,42.7633952363
job12,1,1,125,167.149,42.1490000003
job15,17,0,149,172.315687971,23.3156879707
job17,1,0,172,189.147668453,17.1476684528
job14,216,27,143,196.383,53.3830000004
job13,1327,166,139,196.491,57.4910000005
job16,1,1,155,197.294,42.2940000005
job18,1327,166,198,255.462000001,57.4620000007
job19,7,1,208,256.809000001,48.8090000007
job20,6,1,237,279.154000001,42.1540000008
job21,6,1,247,289.154000001,42.1540000007
job22,6,1,282,324.156,42.1559999999
job26,1,0,310,327.149,17.1489999996
job23,6,1,297,339.156,42.1559999995
job24,6,1,299,341.195999999,42.1959999995
job25,6,1,301,343.155999999,42.1559999994
job27,1,1,329,371.148999999,42.1489999988
job28,1,1,342,384.148999998,42.1489999984
job29,1327,166,369,426.712999997,57.7129999974
job33,1,0,425,442.310603179,17.310603179
job32,1,1,398,442.554999997,44.5549999971
job34,1,0,426,443.310603179,17.310603179
job30,1327,166,373,456.840999997,83.8409999967
job31,1327,166,380,456.841999997,76.8419999967
job35,216,27,432,474.255999996,42.2559999963
job36,3,0,467,484.154441288,17.1544412882
job37,58,0,473,490.177172779,17.1771727793
job38,1,0,485,502.148999995,17.1489999954
job41,1,0,535,552.148999994,17.1489999942
job42,1,0,549,566.148999994,17.1489999939
job40,1,1,524,566.219999994,42.2199999941
job39,1535,192,513,608.187364607,95.1873646069
job43,1,1,569,611.150999993,42.1509999931
job44,1,1,586,628.150999993,42.1509999927
job48,1,0,629,646.147668453,17.1476684528
job45,16,2,611,653.160999992,42.1609999921
job46,1,1,619,661.150999992,42.1509999919
job47,216,27,623,665.255999992,42.2559999918
job50,1,0,652,669.29521772,17.2952177201
job49,1393,0,640,672.334128465,32.3341284646
job51,1,0,656,673.291501952,17.2915019523
job53,2,0,660,680.38321772,20.3832177198
job54,49,0,695,796.571999988,101.571999988
job55,1,1,707,808.361999988,101.361999988
job60,7,0,799,817.242999988,18.242999988
job61,1,0,801,818.153999988,17.1539999879
job57,1,1,787,829.390999988,42.3909999879
job58,1,1,793,835.153999988,42.1539999878
job59,1,1,796,838.153999988,42.1539999877
job65,1,0,825,844.526999987,19.5269999873
job64,3,0,819,846.422876744,27.4228767442
job67,1,0,834,851.288217716,17.2882177158
job66,1,1,826,870.526999987,44.5269999869
job68,2,0,853,872.555580747,19.5555807474
job62,119,0,810,889.159999986,79.1599999863
job69,1,1,854,899.798999986,45.7989999862
job70,219,28,865,913.12159721,48.1215972104
job63,74,10,811,913.623999986,102.623999986
job71,1,0,910,927.153999985,17.1539999854
job72,1,0,934,951.153999985,17.1539999848
job73,1,1,947,990.157999984,43.1579999841
job76,1,0,967,995.422999984,28.4229999838
