jobId,numMaps,numReduces
job0,1,0
job1,1,1
job2,1,0
job3,1,0
job4,1,1
job5,4,0
job6,1,1
job7,1,0
job8,1,0
job9,155,20
job10,1,0
job11,1,0
job12,1,1
job13,1327,166
job14,216,27
job15,17,0
job16,1,1
job17,1,0
job18,1327,166
job19,7,1
job20,6,1
job21,6,1
job22,6,1
job23,6,1
job24,6,1
job25,6,1
job26,1,0
job27,1,1
job28,1,1
job29,1327,166
job30,1327,166
job31,1327,166
job32,1,1
job33,1,0
job34,1,0
job35,216,27
job36,3,0
job37,58,0
job38,1,0
job39,1535,192
job40,1,1
job41,1,0
job42,1,0
job43,1,1
job44,1,1
job45,16,2
job46,1,1
job47,216,27
job48,1,0
job49,1393,0
job50,1,0
job51,1,0
job52,2443,306
job53,2,0
job54,49,0
job55,1,1
job56,5228,654
job57,1,1
job58,1,1
job59,1,1
job60,7,0
job61,1,0
job62,119,0
job63,74,10
job64,3,0
job65,1,0
job66,1,1
job67,1,0
job68,2,0
job69,1,1
job70,219,28
job71,1,0
job72,1,0
job73,1,1
job74,1393,0
job75,1,1
job76,1,0
job77,1,1
job78,119,15
job79,1,1
job80,49,0
job81,49,0
job82,1,0
job83,1713,0
job84,1,0
job85,1,0
job86,216,27
job87,1,0
job88,1,1
job89,1,0
job90,1,0
job91,4,0
job92,15,2
job93,9,2
job94,15,2
job95,8,1
job96,1,0
job97,6,1
job98,8,1
job99,15,2
job100,2,0
job101,15,2
job102,8,1
job103,936,0
job104,1,1
job105,1,0
job106,1,1
job107,1,0
job108,1,1
job109,1,1
job110,2,1
job111,7,1
job112,1,0
job113,1,1
job114,1,0
job115,869,109
job116,8,1
job117,1,0
job118,1,0
job119,1,1
job120,216,27
job121,19,3
job122,19,3
job123,19,3
job124,19,3
job125,19,3
job126,19,3
job127,2,1
job128,49,0
job129,445,0
job130,1,0
job131,18,3
job132,3,0
job133,1,0
job134,1,1
job135,216,27
job136,1,0
job137,108,14
job138,1,0
job139,110,14
job140,6,1
job141,4,1
job142,6,1
job143,1,1
job144,1,0
job145,1393,0
job146,1,0
job147,1,1
job148,1,0
job149,1,1
job150,1,0
job151,4,1
job152,484,61
job153,1,0
job154,1,0
job155,1,0
job156,216,27
job157,12,0
job158,399,50
job159,156,20
job160,156,20
job161,1,0
job162,2,1
job163,7249,0
job164,1,0
job165,1,1
job166,1,0
job167,4,1
job168,4,1
job169,1,1
job170,1,0
job171,1,0
job172,1,1
job173,49,0
job174,1,1
job175,1,1
job176,1,0
job177,1,0
job178,1,0
job179,1,0
job180,1,1
job181,1,1
job182,1,1
job183,1,1
job184,1,1
job185,1,1
job186,1,1
job187,644,0
job188,21,3
job189,21,3
job190,1,0
job191,644,0
job192,603,76
job193,216,27
job194,1393,0
job195,1,1
job196,1,0
job197,1,0
job198,1,0
job199,1,0
job200,1,0
job201,1393,0
job202,1,1
job203,1,1
job204,216,27
job205,81,11
job206,1,1
job207,4,1
job208,63,0
job209,1,0
job210,7,1
job211,1,1
job212,1,1
job213,1,1
job214,1,1
job215,1,0
job216,1,1
job217,1,1
job218,1,1
job219,1,1
job220,49,0
job221,1,0
job222,1,0
job223,15,0
job224,465,0
job225,15,2
job226,1,0
job227,1543,193
job228,15,2
job229,1,0
job230,15,2
job231,1,1
job232,1,1
job233,2,0
job234,1,0
job235,1,0
job236,125,0
job237,216,27
job238,15,2
job239,1,0
job240,1,1
job241,9,2
job242,15,0
job243,868,109
job244,33,5
job245,1,0
job246,1,1
job247,1,0
job248,60,0
job249,1,0
job250,1,1
job251,1,1
job252,1,0
job253,1481,186
job254,19,3
job255,1,1
job256,1,0
job257,33,5
job258,1,1
job259,1,1
job260,1,0
job261,1,0
job262,1,0
job263,1393,0
job264,1,1
job265,1,1
job266,1,0
job267,7,1
job268,1,1
job269,1,1
job270,216,27
job271,24,3
job272,63,0
job273,7,1
job274,2,0
job275,1,0
job276,1,1
job277,8,1
job278,1,1
job279,1,0
job280,1,0
job281,1,0
job282,1,0
job283,1,1
job284,33,5
job285,15,2
job286,1,1
job287,1,1
job288,6,1
job289,3,1
job290,1,1
job291,1,0
job292,6,1
job293,1,1
job294,33,5
job295,1,1
job296,1,1
job297,1,0
job298,1,0
job299,1,0
job300,1,0
job301,1,0
job302,1,1
job303,1,1
job304,1,0
job305,1,0
job306,1,0
job307,1,0
job308,1,0
job309,1,0
job310,1,0
job311,1,1
job312,2,1
job313,1,0
job314,1,0
job315,1,0
