jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,1,18.1370373782,17.1370373782
job2,1,0,8,25.1370373782,17.1370373782
job3,1,0,9,26.138,17.138
job1,1,1,6,48.249,42.249
job6,4,0,41,58.1397635083,17.1397635083
job4,155,20,17,59.2533952363,42.2533952363
job9,1,0,48,65.138,17.138
job10,1,0,58,75.1370373782,17.1370373782
job5,1,1,40,82.242,42.242
job11,1,0,71,88.1370373782,17.1370373782
job8,1,1,47,89.1399999999,42.1399999999
job12,1,0,75,92.138,17.138
job16,17,0,91,111.279957504,20.2799575042
job13,1,1,78,120.139,42.1390000001
job7,1535,192,44,131.989017233,87.9890172328
job15,216,27,89,136.301,47.3010000002
job14,1327,166,79,136.452,57.4520000002
job18,1,0,120,137.138,17.1380000002
job17,1,1,113,155.996,42.9960000003
job21,6,1,131,176.551,45.5510000004
job20,7,1,125,176.861,51.8610000004
job19,1327,166,123,180.442,57.4420000004
job22,6,1,135,180.462,45.4620000004
job27,1,0,166,183.137037378,17.1370373782
job23,6,1,149,191.187,42.1870000004
job24,6,1,159,201.147,42.1470000005
job25,6,1,161,203.187,42.1870000005
job26,6,1,164,206.147,42.1470000005
job28,1,1,191,233.139000001,42.1390000006
job29,1,1,192,234.139000001,42.1390000006
job35,1,0,234,260.408916237,26.4089162368
job36,1,0,241,260.408916237,19.4089162368
job30,1327,166,212,270.328000001,58.3280000008
job38,3,0,254,275.593820578,21.593820578
job33,1,1,232,284.410000001,52.4100000008
job39,58,0,258,285.897000001,27.8970000005
job40,1,0,269,286.464000001,17.4640000005
job42,1,0,293,310.139763508,17.1397635083
job43,1,0,298,315.188,17.1879999998
job41,1,1,271,319.979,48.979
job37,216,27,252,322.693,70.6929999999
job31,1327,166,217,335.016,118.016
job32,1327,166,223,335.02,112.02
job44,1,1,305,347.142999999,42.1429999993
job50,1,0,338,355.139763508,17.1397635083
job46,1,1,319,361.189999999,42.189999999
job47,16,2,321,364.838999999,43.8389999989
job53,1,0,347,365.073435456,18.0734354556
job52,1,0,346,365.073435456,19.0734354556
job48,1,1,329,371.189999999,42.1899999987
job45,219,28,312,376.294245305,64.294245305
job55,2,0,359,379.973217727,20.9732177269
job49,216,27,334,381.140999999,47.1409999985
job56,49,0,367,390.358741825,23.3587418248
job51,1393,0,341,396.713235785,55.7132357846
job61,7,0,385,407.627999998,22.6279999977
job57,1,1,370,413.456999998,43.4569999977
job58,1,1,373,416.350999998,43.3509999977
job59,1,1,376,420.110999998,44.1109999976
job62,1,0,398,420.627999997,22.6279999973
job60,1,1,382,428.590999997,46.5909999974
job65,3,0,431,454.044454693,23.0444546933
job66,1,0,442,461.261347424,19.2613474241
job68,1,0,455,472.636999996,17.6369999961
job63,119,0,415,489.430999996,74.4309999957
job69,2,0,463,489.444999996,26.4449999957
job71,1,0,472,490.127870909,18.1278709094
job67,1,1,448,494.149999996,46.1499999958
job72,1,0,477,495.745999996,18.7459999956
job34,5228,654,233,496.92295368,263.92295368
job64,74,10,418,507.011999996,89.0119999955
job70,1,1,465,512.646999995,47.6469999954
job77,1,0,501,523.147999995,22.1479999949
job74,1,1,486,528.791999995,42.791999995
job76,1,1,492,535.849999995,43.8499999949
job75,1393,0,491,580.124999994,89.1249999936
job73,869,109,480,608.310096947,128.310096947
job54,2443,306,358,859.870999991,501.870999991
