time,jobId,taskId,event,cntrId
1,job0,am,start,1264
2.0096450135268884,job0,m0,start,752
2.1438627415268883,job0,m0,execute
6,job1,am,start,912
7.009645013526889,job1,m0,start,753
7.145000000000721,job1,m0,execute
8,job2,am,start,1072
9,job3,am,start,1056
9.009645013526889,job2,m0,start,754
9.143862741526888,job2,m0,execute
10.009645013526889,job3,m0,start,755
10.144999999999817,job3,m0,execute
17,job4,am,start,304
17.143862741526888,job0,m0,finish,752
18,job4,m11,start,496
18,job4,m4,start,384
18,job4,m16,start,576
18,job4,m19,start,624
18,job4,m7,start,432
18,job4,m5,start,400
18,job4,m39,start,625
18,job4,m13,start,528
18,job4,m25,start,401
18,job4,m15,start,560
18,job4,m35,start,561
18,job4,m33,start,529
18,job4,m27,start,433
18,job4,m6,start,416
18,job4,m18,start,608
18,job4,m9,start,464
18,job4,m38,start,609
18,job4,m47,start,434
18,job4,m59,start,626
18,job4,m29,start,465
18,job4,m55,start,562
18,job4,m12,start,512
18,job4,m36,start,577
18,job4,m3,start,368
18,job4,m17,start,592
18,job4,m2,start,352
18,job4,m32,start,513
18,job4,m67,start,435
18,job4,m75,start,563
18,job4,m37,start,593
18,job4,m8,start,448
18,job4,m53,start,530
18,job4,m24,start,385
18,job4,m44,start,386
18,job4,m1,start,336
18,job4,m14,start,544
18,job4,m26,start,417
18,job4,m23,start,369
18,job4,m10,start,480
18,job4,m43,start,370
18,job4,m31,start,497
18,job4,m64,start,387
18,job4,m28,start,449
18,job4,m57,start,594
18,job4,m63,start,371
18,job4,m0,start,320
18,job4,m73,start,531
18,job4,m51,start,498
18,job4,m22,start,353
18,job4,m46,start,418
18,job4,m52,start,514
18,job4,m79,start,627
18,job4,m83,start,372
18,job4,m103,start,373
18,job4,m95,start,564
18,job4,m115,start,565
18,job4,m99,start,628
18,job4,m87,start,436
18,job4,m20,start,321
18,job4,m49,start,466
18,job4,m69,start,467
18,job4,m84,start,388
18,job4,m107,start,437
18,job4,m40,start,322
18,job4,m119,start,629
18,job4,m93,start,532
18,job4,m89,start,468
18,job4,m56,start,578
18,job4,m45,start,402
18,job4,m109,start,469
18,job4,m71,start,499
18,job4,m42,start,354
18,job4,m77,start,595
18,job4,m113,start,533
18,job4,m97,start,596
18,job4,m135,start,566
18,job4,m123,start,374
18,job4,m143,start,375
18,job4,m76,start,896
18,job4,m72,start,832
18,job4,m60,start,640
18,job4,m21,start,688
18,job4,m80,start,641
18,job4,m96,start,897
18,job4,m92,start,833
18,job4,m129,start,784
18,job4,m62,start,672
18,job4,m112,start,834
18,job4,m65,start,720
18,job4,m133,start,848
18,job4,m66,start,736
18,job4,m149,start,785
18,job4,m91,start,816
18,job4,m85,start,721
18,job4,m139,start,944
18,job4,m153,start,849
18,job4,m30,start,850
18,job4,m127,start,752
18,job4,m34,start,945
18,job4,m41,start,656
18,job4,m48,start,786
18,job4,m58,start,928
18,job4,m50,start,880
18,job4,m78,start,929
18,job4,m98,start,930
18,job4,m117,start,913
18,job4,m54,start,787
18,job4,m61,start,689
18,job4,m70,start,800
18,job4,m68,start,690
18,job4,m82,start,673
18,job4,m100,start,642
