jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,7,24.149,17.149
job2,1,0,22,39.1479196955,17.1479196955
job3,1,0,32,49.149,17.149
job5,4,0,43,60.1601104326,17.1601104326
job1,1,1,20,62.26,42.26
job7,1,0,58,75.1479196955,17.1479196955
job4,1,1,42,84.251,42.251
job6,1,1,54,96.15,42.15
job8,1,0,102,119.147919695,17.1479196955
job10,1,0,115,132.149,17.1490000002
job11,1,0,119,136.149,17.1490000002
job9,155,20,106,148.253395236,42.2533952363
job12,1,1,125,167.15,42.1500000003
job15,17,0,149,172.299569395,23.2995693947
job17,1,0,172,189.149,17.1490000005
job14,216,27,143,196.41,53.4100000004
job13,1327,166,139,196.5,57.5000000005
job16,1,1,155,197.289,42.2890000005
job18,1327,166,198,255.488000001,57.4880000007
job19,7,1,208,256.541000001,48.5410000007
job20,6,1,237,279.162000001,42.1620000008
job21,6,1,247,289.197000001,42.1970000007
job22,6,1,282,324.197,42.1969999999
job26,1,0,310,327.149,17.1489999996
job23,6,1,297,339.197,42.1969999995
job24,6,1,299,341.236999999,42.2369999995
job25,6,1,301,343.148999999,42.1489999994
job27,1,1,329,371.150999999,42.1509999988
job28,1,1,342,384.150999998,42.1509999984
job29,1327,166,369,426.649999997,57.6499999974
job33,1,0,425,442.310999997,17.3109999968
job32,1,1,398,442.554999997,44.5549999971
job34,1,0,426,443.309844054,17.3098440538
job30,1327,166,373,456.797999997,83.7979999967
job31,1327,166,380,456.800999997,76.8009999967
job35,216,27,432,474.307999996,42.3079999963
job36,3,0,467,484.160110433,17.1601104326
job37,58,0,473,490.214293618,17.2142936175
job38,1,0,485,502.147919695,17.1479196955
job41,1,0,535,552.148999994,17.1489999942
job42,1,0,549,566.147919695,17.1479196955
job40,1,1,524,566.221999994,42.2219999941
job39,1535,192,513,597.017364607,84.0173646069
job43,1,1,569,611.148999993,42.1489999931
job44,1,1,586,628.150999993,42.1509999927
job48,1,0,629,646.147919695,17.1479196955
job45,16,2,611,653.200999992,42.2009999921
job46,1,1,619,661.150999992,42.1509999919
job47,216,27,623,665.297999992,42.2979999918
job50,1,0,652,669.336999991,17.3369999915
job49,1393,0,640,672.373408316,32.3734083156
job51,1,0,656,673.287910481,17.287910481
job53,2,0,660,677.416355151,17.4163551515
job54,49,0,695,801.806999988,106.806999988
job55,1,1,707,811.484999988,104.484999988
job61,1,0,801,818.231406239,17.2314062388
job57,1,1,787,829.678999988,42.6789999879
job58,1,1,793,835.196999988,42.1969999878
job59,1,1,796,838.493999988,42.4939999877
job65,1,0,825,847.289999987,22.2899999873
job67,1,0,834,853.628217716,19.6282177157
job60,7,0,799,868.762435444,69.7624354437
job66,1,1,826,876.332999987,50.3329999868
job68,2,0,853,878.559999987,25.5599999865
job64,3,0,819,884.897999986,65.8979999864
job62,119,0,810,891.468999986,81.4689999862
job69,1,1,854,903.771999986,49.7719999862
job70,219,28,865,911.804072867,46.804072867
job63,74,10,811,916.333999986,105.333999986
job71,1,0,910,927.215999985,17.2159999854
job72,1,0,934,951.196999985,17.1969999848
job73,1,1,947,989.202999984,42.2029999841
job76,1,0,967,990.235999984,23.2359999839
job75,1,1,963,1005.37799998,42.3779999838
job74,1393,0,948,1005.44633681,57.4463368082
job77,1,1,974,1017.36699998,43.3669999835
job79,1,1,978,1021.58199998,43.5819999834
job80,49,0,1003,1021.76699998,18.7669999831
job78,119,15,975,1030.40299998,55.4029999832
job81,49,0,1027,1044.22511134,17.2251113362
job82,1,0,1035,1052.14899998,17.1489999824
job84,1,0,1049,1069.50547711,20.5054771085
job56,5228,654,738,1069.55601514,331.556015139
job52,2443,306,657,1081.08199999,424.081999986
job85,1,0,1054,1085.69023287,31.6902328671
job87,1,0,1066,1085.69023287,19.6902328671
job89,1,0,1079,1100.8244506,21.8244505951
job90,1,0,1093,1115.96021771,22.9602177093
job88,1,1,1078,1122.21799998,44.217999981
job91,4,0,1098,1127.52499998,29.5249999806
job86,216,27,1063,1138.24699998,75.2469999806
job96,1,0,1143,1160.44299998,17.4429999798
job95,8,1,1127,1179.27999998,52.2799999796
