time,jobId,taskId,event,cntrId
7,job0,am,start,448
8.006249868065238,job0,m0,start,672
8.142000000000927,job0,m0,execute
20,job1,am,start,288
21.00624986806524,job1,m0,start,673
21.142000000002856,job1,m0,execute
22,job2,am,start,1120
23.00624986806524,job2,m0,start,674
23.14046759606524,job2,m0,execute
23.142000000000927,job0,m0,finish,672
24.142000000000927,job0,am,finish,448
32,job3,am,start,496
33.00624986806524,job3,m0,start,672
33.14046759606524,job3,m0,execute
36.142000000002852,job1,m0,finish,673
36.142000000002852,job1,r0,start,673
36.25300000000621,job1,r0,execute
38.140467596065236,job2,m0,finish,674
39.140467596065236,job2,am,finish,1120
42,job4,am,start,864
43,job5,am,start,80
43.00624986806524,job4,m0,start,674
43.14046759606524,job4,m0,execute
44.00624986806524,job5,m0,start,675
44.00624986806524,job5,m3,start,676
44.008894576090746,job5,m1,start,497
44.008894576090746,job5,m2,start,498
44.14046759606524,job5,m0,execute
44.14046759606524,job5,m3,execute
44.14311230409075,job5,m1,execute
44.14311230409075,job5,m2,execute
48.140467596065243,job3,m0,finish,672
49.140467596065243,job3,am,finish,496
54,job6,am,start,432
55.00624986806524,job6,m0,start,672
55.14046759606524,job6,m0,execute
58,job7,am,start,96
58.140467596065243,job4,m0,finish,674
58.140467596065243,job4,r0,start,674
58.24399999995496,job4,r0,execute
59.00624986806524,job7,m0,start,677
59.140467596065243,job5,m0,finish,675
59.140467596065243,job5,m3,finish,676
59.14046759606524,job7,m0,execute
59.143112304090749,job5,m1,finish,497
59.143112304090749,job5,m2,finish,498
60.143112304090749,job5,am,finish,80
61.25300000000621,job1,r0,finish,673
62.25300000000621,job1,am,finish,288
70.140467596065236,job6,m0,finish,672
70.140467596065236,job6,r0,start,672
70.14199999997086,job6,r0,execute
74.140467596065236,job7,m0,finish,677
75.140467596065236,job7,am,finish,96
83.243999999954951,job4,r0,finish,674
84.243999999954951,job4,am,finish,864
95.141999999970864,job6,r0,finish,672
96.141999999970864,job6,am,finish,432
102,job8,am,start,912
103.00624986806524,job8,m0,start,672
103.14200000012843,job8,m0,execute
106,job9,am,start,32
107,job9,m12,start,1152
107,job9,m19,start,1264
107,job9,m18,start,1248
107,job9,m14,start,1184
107,job9,m17,start,1232
107,job9,m1,start,976
107,job9,m38,start,1249
107,job9,m5,start,1040
107,job9,m37,start,1233
107,job9,m58,start,1250
107,job9,m16,start,1216
107,job9,m7,start,1072
107,job9,m8,start,1088
107,job9,m78,start,1251
107,job9,m36,start,1217
107,job9,m9,start,1104
107,job9,m25,start,1041
107,job9,m28,start,1089
107,job9,m2,start,992
107,job9,m11,start,1136
107,job9,m98,start,1252
107,job9,m27,start,1073
107,job9,m21,start,977
107,job9,m56,start,1218
107,job9,m0,start,960
107,job9,m4,start,1024
107,job9,m45,start,1042
107,job9,m20,start,961
107,job9,m57,start,1234
107,job9,m77,start,1235
107,job9,m22,start,993
107,job9,m10,start,1120
107,job9,m97,start,1236
107,job9,m30,start,1121
107,job9,m42,start,994
107,job9,m3,start,1008
107,job9,m24,start,1025
107,job9,m31,start,1137
107,job9,m47,start,1074
107,job9,m51,start,1138
107,job9,m50,start,1122
107,job9,m44,start,1026
107,job9,m32,start,1153
107,job9,m13,start,1168
107,job9,m71,start,1139
107,job9,m23,start,1009
107,job9,m67,start,1075
107,job9,m29,start,1105
107,job9,m76,start,1219
107,job9,m15,start,1200
107,job9,m49,start,1106
107,job9,m40,start,962
107,job9,m65,start,1043
107,job9,m64,start,1027
107,job9,m91,start,1140
107,job9,m84,start,1028
107,job9,m111,start,1141
107,job9,m43,start,1010
107,job9,m131,start,1142
107,job9,m6,start,1056
