jobId,numMaps,numReduces
job0,28,4
job1,22,3
job2,6,1
job3,92,12
job4,155,20
job5,53,7
job6,76,10
job7,31,4
job8,81,11
job9,73,10
job10,234,30
job11,93,12
job12,79,10
job13,45,6
job14,1535,192
job15,316,40
job16,137,18
job17,5228,654
job18,130,17
job19,55,7
job20,219,28
job21,869,109
job22,4,0
job23,45,0
job24,8,1
job25,30,4
job26,6,1
job27,372,47
job28,23,3
job29,172,22
job30,18,3
job31,12,2
job32,32,4
job33,7,0
job34,6,0
job35,108,14
job36,62,8
job37,48,6
job38,60,8
job39,18,3
job40,110,14
job41,484,61
job42,15,2
job43,7,0
job44,6,1
job45,228,29
job46,399,50
job47,8,1
job48,282,36
job49,482,61
job50,285,36
job51,100,13
job52,16,2
job53,156,20
job54,436,55
job55,371,47
job56,28,4
job57,78,10
job58,7,1
job59,7,1
job60,77,10
job61,12,2
job62,156,20
job63,64,8
job64,7340,918
job65,1,0
job66,52,7
job67,603,76
job68,245,31
job69,453,0
job70,416,52
job71,3,1
job72,7,1
job73,7,1
job74,5,1
job75,65,0
job76,2336,0
job77,70,9
job78,329,42
