jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,2,19.1358415296,17.1358415296
job2,1,0,17,34.137,17.137
job3,1,0,29,46.137,17.137
job1,1,1,10,52.247,42.247
job5,4,0,36,53.432,17.432
job7,1,0,48,65.137,17.137
job8,1,0,50,67.137,17.137
job9,1,0,52,69.1358415296,17.1358415296
job10,1,0,57,74.137,17.137
job4,1,1,32,74.241,42.241
job14,17,0,67,84.4105248562,17.4105248562
job6,1,1,44,86.139,42.139
job16,1,0,72,89.272,17.272
job11,1,1,61,103.138,42.138
job12,1327,166,63,105.409,42.409
job13,216,27,65,107.406,42.406
job15,1,1,70,112.339,42.339
job17,1327,166,73,115.676,42.6760000001
job18,7,1,80,122.676,42.6760000001
job19,6,1,84,126.197,42.1970000001
job20,6,1,91,133.159,42.1590000001
job21,6,1,93,135.177,42.1770000002
job25,1,0,119,136.137,17.1370000002
job22,6,1,94,136.177,42.1770000002
job23,6,1,110,152.208,42.2080000002
job32,1,0,137,157.271,20.2710000003
job33,1,0,140,158.272,18.2720000003
job24,6,1,117,159.197,42.1970000003
job35,3,0,144,161.386,17.3860000003
job26,1,1,120,162.138,42.1380000003
job36,58,0,145,162.267309192,17.2673091918
job37,1,0,147,164.221,17.2210000003
job27,1,1,123,167.137,44.1370000003
job28,1327,166,125,167.547,42.5470000003
job39,1,0,154,171.13584153,17.1358415296
job29,1327,166,129,171.582,42.5820000003
job40,1,0,155,172.14,17.1400000004
job31,1,1,131,173.295,42.2950000003
job30,1327,166,130,182.35,52.3500000004
job34,216,27,142,184.25,42.2500000004
job38,1,1,151,193.209,42.2090000004
