jobId,numMaps,numReduces,startTime,finishTime,duration
job0,1,0,1,18.111,17.111
job2,1,0,8,25.111,17.111
job3,1,0,9,26.1363693222,17.1363693222
job1,1,1,6,48.222,42.222
job6,4,0,41,58.1962178803,17.1962178803
job4,155,20,17,59.7633952363,42.7633952363
job9,1,0,48,65.1363693222,17.1363693222
job10,1,0,58,75.1363693222,17.1363693222
job5,1,1,40,82.24,42.24
job11,1,0,71,88.111,17.111
job8,1,1,47,89.1379999999,42.1379999999
job12,1,0,75,92.1363693222,17.1363693222
job16,17,0,91,111.330435608,20.3304356083
job13,1,1,78,120.138,42.1380000001
job7,1535,192,44,131.989017233,87.9890172328
job15,216,27,89,136.28,47.2800000002
job14,1327,166,79,136.476,57.4760000002
job18,1,0,120,137.136369322,17.1363693222
job17,1,1,113,155.112,42.1120000003
job20,7,1,125,173.152,48.1520000003
job21,6,1,131,176.554,45.5540000004
job19,1327,166,123,180.449,57.4490000004
job22,6,1,135,180.461,45.4610000004
job27,1,0,166,183.111,17.1110000004
job23,6,1,149,191.202,42.2020000004
job24,6,1,159,201.198,42.1980000005
job25,6,1,161,203.172,42.1720000005
job26,6,1,164,206.148,42.1480000005
job28,1,1,191,233.138000001,42.1380000006
job29,1,1,192,234.138000001,42.1380000006
job35,1,0,234,260.416812446,26.416812446
job36,1,0,241,260.416812446,19.416812446
job30,1327,166,212,270.306000001,58.3060000008
job38,3,0,254,275.591459521,21.5914595215
job33,1,1,232,284.416000001,52.4160000008
job39,58,0,258,285.192000001,27.1920000005
job40,1,0,269,290.086,21.0860000004
job42,1,0,293,310.160217728,17.1602177283
job43,1,0,298,315.201134847,17.2011348467
job41,1,1,271,315.928,44.9280000001
job37,216,27,252,320.568,68.5679999999
job31,1327,166,217,334.068,117.068
job32,1327,166,223,334.073,111.073
job44,1,1,305,347.147999999,42.1479999993
job45,219,28,312,355.59159721,43.5915972104
job50,1,0,338,356.460999999,18.4609999989
job46,1,1,319,361.121999999,42.121999999
job47,16,2,321,364.487999999,43.4879999989
job53,1,0,347,366.362999999,19.3629999986
job52,1,0,346,366.362999999,20.3629999986
job48,1,1,329,371.176999999,42.1769999987
job55,2,0,359,380.596999998,21.5969999983
job49,216,27,334,381.592999999,47.5929999985
job56,49,0,367,390.405741825,23.4057418248
job51,1393,0,341,396.686103468,55.6861034683
job61,7,0,385,410.824999998,25.8249999976
job57,1,1,370,412.705999998,42.7059999978
job59,1,1,376,419.746999998,43.7469999976
job58,1,1,373,420.605999998,47.6059999976
job62,1,0,398,420.674177281,22.6741772808
job60,1,1,382,428.686999997,46.6869999974
job68,1,0,455,476.826042278,21.8260422784
job66,1,0,442,476.826042278,34.8260422784
job65,3,0,431,476.835042278,45.8350422784
job63,119,0,415,487.679365562,72.6793655623
job69,2,0,463,487.952999996,24.9529999958
job71,1,0,472,491.934999996,19.9349999957
job72,1,0,477,494.758999996,17.7589999956
job34,5228,654,233,495.725477159,262.725477159
job67,1,1,448,503.651999996,55.6519999956
job70,1,1,465,511.830999995,46.8309999954
job64,74,10,418,513.294999995,95.2949999954
job77,1,0,501,526.965217723,25.9652177234
job74,1,1,486,528.818999995,42.818999995
job76,1,1,492,537.592999995,45.5929999948
job75,1393,0,491,613.493999993,122.493999993
job73,869,109,480,640.267985339,160.267985339
job54,2443,306,358,875.28799999,517.28799999
