time,jobId,taskId,event,cntrId
1,job0,am,start,1216
2.002151594215608,job0,m0,start,656
2.1109999999998785,job0,m0,execute
6,job1,am,start,320
7.002151594215608,job1,m0,start,657
7.111000000000709,job1,m0,execute
8,job2,am,start,752
9,job3,am,start,224
9.002151594215608,job2,m0,start,658
9.11100000000039,job2,m0,execute
10.002151594215608,job3,m0,start,659
10.136369322215607,job3,m0,execute
17,job4,am,start,464
17.11099999999988,job0,m0,finish,656
18,job4,m12,start,832
18,job4,m14,start,864
18,job4,m1,start,656
18,job4,m7,start,753
18,job4,m34,start,865
18,job4,m16,start,896
18,job4,m9,start,784
18,job4,m0,start,640
18,job4,m3,start,688
18,job4,m2,start,672
18,job4,m29,start,785
18,job4,m36,start,897
18,job4,m56,start,898
18,job4,m6,start,736
18,job4,m76,start,899
18,job4,m11,start,816
18,job4,m13,start,848
18,job4,m31,start,817
18,job4,m23,start,689
18,job4,m54,start,866
18,job4,m18,start,928
18,job4,m22,start,673
18,job4,m38,start,929
18,job4,m4,start,704
18,job4,m74,start,867
18,job4,m51,start,818
18,job4,m17,start,912
18,job4,m94,start,868
18,job4,m37,start,913
18,job4,m58,start,930
18,job4,m49,start,786
18,job4,m27,start,754
18,job4,m43,start,690
18,job4,m47,start,755
18,job4,m15,start,880
18,job4,m67,start,756
18,job4,m32,start,833
18,job4,m33,start,849
18,job4,m42,start,674
18,job4,m5,start,720
18,job4,m25,start,721
18,job4,m53,start,850
18,job4,m52,start,834
18,job4,m24,start,705
18,job4,m62,start,675
18,job4,m87,start,757
18,job4,m35,start,881
18,job4,m82,start,676
18,job4,m69,start,787
18,job4,m114,start,869
18,job4,m107,start,758
18,job4,m10,start,800
18,job4,m26,start,737
18,job4,m63,start,691
18,job4,m83,start,692
18,job4,m57,start,914
18,job4,m134,start,870
18,job4,m154,start,871
18,job4,m73,start,851
18,job4,m20,start,641
18,job4,m30,start,801
18,job4,m55,start,882
18,job4,m72,start,835
18,job4,m46,start,738
18,job4,m50,start,802
18,job4,m96,start,900
18,job4,m116,start,901
18,job4,m103,start,693
18,job4,m102,start,677
18,job4,m8,start,872
18,job4,m75,start,883
18,job4,m21,start,660
18,job4,m28,start,768
18,job4,m41,start,661
18,job4,m89,start,788
18,job4,m122,start,678
18,job4,m44,start,706
18,job4,m77,start,915
18,job4,m40,start,0
18,job4,m93,start,208
18,job4,m19,start,304
18,job4,m45,start,80
18,job4,m39,start,305
18,job4,m64,start,64
18,job4,m60,start,1
18,job4,m71,start,176
18,job4,m95,start,240
18,job4,m66,start,96
18,job4,m80,start,2
18,job4,m84,start,65
18,job4,m100,start,3
18,job4,m115,start,241
18,job4,m113,start,209
18,job4,m123,start,48
18,job4,m136,start,256
